TYPE,KEY,SUMMARY,STATUS
Subtask,TTP-67,4. Connect to live inventory,Done
Task,TTP-66,Admin Login,Done
Subtask,TTP-65,"3. Add category, brand, compatibility, and price filters",Done
Subtask,TTP-64,2. Implement pagination,Done
Subtask,TTP-63,1. Build catalog listing UI,Done
Task,TTP-62,Search and Filter Parts,Done
Task,TTP-61,View Purchase History,To Do
Task,TTP-59,Product Details,In Progress
Task,TTP-58,Delivery Status Tracking,To Do
Subtask,TTP-57,Display logs on admin dashboard,To Do
Task,TTP-56,Product Listing,Done
Subtask,TTP-55,Store logs in database,To Do
Subtask,TTP-54,Implement request logging when chatbot detects unavailable part,To Do
Subtask,TTP-53,Add print and download options,To Do
Subtask,TTP-52,Implement auto-generation on sale completion,To Do
Task,TTP-51,Out-of-Stock Request Logging,To Do
Subtask,TTP-50,Design receipt template,To Do
Task,TTP-48,Payment History per Supplier,To Do
Subtask,TTP-47,4. Allow export of report,To Do
Subtask,TTP-46,3. Pull all parts below threshold from database,To Do
Subtask,TTP-45,2. Implement filter options,To Do
Subtask,TTP-44,1. Build low-stock report UI,To Do
Subtask,TTP-43,3. Show part name and current quantity in alert,Done
Subtask,TTP-42,2. Display badge or notification on admin dashboard,Done
Subtask,TTP-41,Allow customer to view full details of suggested parts,To Do
Subtask,TTP-40,1. Implement alert trigger logic,Done
Subtask,TTP-39,4. Add brute-force protection,Done
Subtask,TTP-38,Display suggestions with stock status,To Do
Subtask,TTP-37,3. Add remember-me option,Done
Subtask,TTP-36,Implement alternative matching logic based on specs,To Do
Subtask,TTP-35,2. Implement JWT authentication,Done
Subtask,TTP-34,1. Build login form UI,Done
Subtask,TTP-32,3. Implement trigger logic when stock hits threshold,To Do
Subtask,TTP-31,2. Save threshold values to database,To Do
Task,TTP-30,Alternative Part Suggestion,To Do
Subtask,TTP-29,1. Build threshold configuration UI per part,To Do
Task,TTP-28,Low-Stock Report,To Do
Subtask,TTP-27,4. Connect to database,Done
Subtask,TTP-26,3. Implement email verification flow,Done
Subtask,TTP-25,Display matching results to customer,To Do
Subtask,TTP-24,Connect chatbot to live inventory,To Do
Subtask,TTP-23,Integrate natural language processing,To Do
Task,TTP-22,Alert Notification,Done
Task,TTP-21,Real-Time Stock Tracking,In Review
Subtask,TTP-20,Build Chatbot User Interface,To Do
Task,TTP-19,Purchase Order Creation,In Progress
Task,TTP-18,Receipt Generation,To Do
Subtask,TTP-17,2. Add input validation,Done
Subtask,TTP-16,1. Build registration form UI,Done
Task,TTP-15,Process Sale Transaction,To Do
Task,TTP-14,Supplier Directory,In Progress
Task,TTP-13,Set Minimum Stock Threshold,In Progress
Task,TTP-12,Customer Login,Done
Task,TTP-11,Add/Edit Parts Record,In Review
Task,TTP-10,Customer Registration,Done
Task,TTP-9,Natural Language Part Inquiry,To Do
Epic,TTP-8,Inventory Management,To Do
Epic,TTP-7,Customer Management,To Do
Epic,TTP-6,Supplier Management,To Do
Epic,TTP-5,Stock Management,To Do
Epic,TTP-4,Sales Management,To Do
Epic,TTP-3,AI Assistant,To Do
Epic,TTP-2,User Management,To Do
Epic,TTP-1,Parts Catalog,To Do
